gene_id	KO_1	KO_2	KO_3	WT_1	WT_2	WT_3
ENSG00000141956	1556	1600	1525	1869	2132	1781
ENSG00000141959	5683	5714	5811	6781	6982	6210
ENSG00000142149	1	3	5	2	3	0
ENSG00000142156	223	251	239	79	95	77
ENSG00000142166	2971	3125	3237	3255	3553	3304
ENSG00000142168	8963	8484	8392	10261	10012	9186
ENSG00000142173	2	1	3	2	0	0
ENSG00000142178	22341	24213	21155	20388	25696	19104
ENSG00000142182	202	170	187	403	370	413
ENSG00000142185	752	810	641	879	883	819
ENSG00000142188	956	1009	966	1020	1089	871
ENSG00000142192	20556	19914	20116	20132	21005	18714
ENSG00000142197	276	296	297	655	618	557
ENSG00000142207	4801	5054	4413	4155	4604	3734
ENSG00000154639	4339	4237	4348	4538	4870	4360
ENSG00000154640	2495	2464	2363	2004	2085	1767
ENSG00000154642	692	648	735	786	968	817
ENSG00000154645	6	5	4	1	3	0
ENSG00000154646	0	0	0	0	0	0
ENSG00000154654	80	100	83	29	71	45
ENSG00000154719	2440	2501	2365	2674	2646	2394
ENSG00000154721	1	1	2	3	3	2
ENSG00000154723	4393	4413	4431	5083	4910	4650
ENSG00000154727	2447	2385	2512	3004	3378	2976
ENSG00000154734	379	328	307	589	684	570
ENSG00000154736	9	6	6	74	77	71
ENSG00000155304	2363	2522	2497	2873	3121	2594
ENSG00000155307	0	0	0	0	0	0
ENSG00000155313	2758	2633	2667	3471	3408	3039
ENSG00000156239	293	294	289	312	400	323
ENSG00000156253	833	936	934	1126	1251	1047
ENSG00000156256	2766	2579	2426	3568	3432	3024
ENSG00000156261	23850	23543	22793	24022	25494	20976
ENSG00000156265	4	4	7	7	7	2
ENSG00000156273	1970	1945	1886	1641	1709	1585
ENSG00000156282	0	0	0	0	0	0
ENSG00000156284	0	0	0	0	0	0
ENSG00000156299	3	2	3	2	5	3
ENSG00000156304	1900	1962	1777	2291	2286	2012
ENSG00000157538	2235	2224	2380	2370	2410	2260
ENSG00000157540	3799	3558	3577	4290	4283	3669
ENSG00000157542	2	0	5	2	3	3
ENSG00000157551	17	23	6	31	25	28
ENSG00000157554	836	799	727	1076	1078	966
ENSG00000157557	7756	8156	7764	6138	6672	5194
ENSG00000157578	132	108	132	140	127	110
ENSG00000157601	40	56	51	36	48	29
ENSG00000157617	1687	1805	1536	2245	2574	2028
ENSG00000159055	892	905	828	1034	1157	957
ENSG00000159079	3795	3813	3375	3997	4244	3306
ENSG00000159082	810	981	1113	934	1043	930
ENSG00000159086	3023	2816	2723	3330	3777	3029
ENSG00000159110	1566	1650	1649	1491	1639	1442
ENSG00000159128	1787	1878	1683	1835	1965	1744
ENSG00000159131	13523	13528	12878	14917	15804	13618
ENSG00000159140	22431	25195	21683	25270	27765	23235
ENSG00000159147	2799	2986	2984	3349	3603	3076
ENSG00000159197	2	2	2	1	3	4
ENSG00000159200	638	602	607	674	702	601
ENSG00000159212	2	1	2	0	0	0
ENSG00000159216	1379	1342	1126	1115	1085	846
ENSG00000159228	2561	2661	2452	3861	3918	3525
ENSG00000159231	203	164	175	251	202	178
ENSG00000159256	1078	1073	1077	1225	1362	1120
ENSG00000159259	2970	3034	3113	3140	3153	2888
ENSG00000159261	0	1	0	0	0	0
ENSG00000159263	448	541	441	660	769	671
ENSG00000159267	1290	1289	1250	1379	1356	1236
ENSG00000160179	3	4	6	0	5	3
ENSG00000160180	0	0	0	0	0	1
ENSG00000160181	3	1	1	0	0	0
ENSG00000160182	6	2	2	5	6	1
ENSG00000160183	902	900	904	407	409	362
ENSG00000160185	0	0	0	0	0	0
ENSG00000160188	4	8	13	3	2	1
ENSG00000160190	777	874	829	827	895	829
ENSG00000160191	190	212	217	160	169	125
ENSG00000160193	1339	1366	1503	1766	1829	1811
ENSG00000160194	2348	2449	2511	2662	2949	2570
ENSG00000160199	972	1090	985	1124	1246	1060
ENSG00000160200	8458	8845	8882	11175	12425	11017
ENSG00000160201	7785	7814	7213	9016	9181	7986
ENSG00000160202	0	1	1	0	0	0
ENSG00000160207	140	135	126	139	145	132
ENSG00000160208	11068	11141	9656	13695	14663	11831
ENSG00000160209	17119	17345	15996	18774	19461	16850
ENSG00000160213	5238	5379	4930	5639	5442	5066
ENSG00000160214	3268	3264	2783	4302	4358	3601
ENSG00000160216	3513	3712	3243	3812	4299	3708
ENSG00000160218	3123	3173	3013	3646	3864	3396
ENSG00000160221	3434	3502	3450	4352	4491	3980
ENSG00000160223	1559	1621	1443	2438	2345	2147
ENSG00000160224	0	5	3	6	10	7
ENSG00000160226	413	390	415	519	473	404
ENSG00000160233	20	33	34	51	58	58
ENSG00000160255	43	46	34	24	29	25
ENSG00000160256	1777	1908	1571	1941	1838	1714
ENSG00000160282	4	7	4	1	1	1
ENSG00000160284	83	123	95	104	85	96
ENSG00000160285	3706	3660	4060	3927	3160	3448
ENSG00000160294	6811	7107	6310	7502	8091	6686
ENSG00000160298	430	476	469	461	671	418
ENSG00000160299	4365	4581	4320	5227	5954	4882
ENSG00000160305	1936	1960	2075	2183	2720	2130
ENSG00000160307	0	2	2	0	5	0
ENSG00000160310	1459	1490	1296	1526	1605	1416
ENSG00000166265	0	0	0	0	0	0
ENSG00000166351	0	2	0	0	0	1
ENSG00000166979	1522	1555	1388	1291	1395	1119
ENSG00000168122	0	0	0	0	0	0
ENSG00000170262	0	0	0	0	0	0
ENSG00000171189	0	1	2	0	2	0
ENSG00000171587	0	0	0	0	0	0
ENSG00000173231	1	0	1	1	0	1
ENSG00000173276	1127	1180	1193	1300	1488	1413
ENSG00000173638	2950	3184	2381	4111	4157	3245
ENSG00000175302	0	0	0	0	0	0
ENSG00000175894	0	0	0	0	0	0
ENSG00000176054	12	7	3	14	13	7
ENSG00000177398	0	3	0	0	1	0
ENSG00000177692	25	18	29	21	28	29
ENSG00000179381	0	0	0	0	0	0
ENSG00000180509	7	5	2	3	7	2
ENSG00000180530	3479	3592	3777	5097	5461	4571
ENSG00000182093	1181	1148	1178	1154	1232	1182
ENSG00000182240	21905	20863	19441	19042	20115	17221
ENSG00000182362	653	669	628	753	836	730
ENSG00000182591	0	0	0	0	0	0
ENSG00000182670	8889	8938	9115	9042	10756	8927
ENSG00000182816	0	0	0	0	0	0
ENSG00000182871	23	20	42	13	27	33
ENSG00000183036	0	0	0	0	0	0
ENSG00000183067	0	0	0	0	0	0
ENSG00000183145	2	4	1	0	0	2
ENSG00000183249	0	0	0	0	0	0
ENSG00000183255	5393	5943	5268	5096	5769	4978
ENSG00000183421	86	97	115	81	71	61
ENSG00000183486	16	16	23	6	7	0
ENSG00000183527	4926	4746	4420	5772	5903	5041
ENSG00000183570	1	0	2	0	0	0
ENSG00000183640	0	0	0	0	0	0
ENSG00000183778	1	1	0	1	1	0
ENSG00000183844	31	24	28	20	22	16
ENSG00000184012	0	0	1	0	0	0
ENSG00000184032	0	0	0	0	0	0
ENSG00000184221	0	0	0	0	0	0
ENSG00000184351	0	0	0	0	0	0
ENSG00000184724	0	0	0	0	0	0
ENSG00000184787	5974	6098	5523	6443	7388	5409
ENSG00000184900	5444	5513	5080	6996	6924	6222
ENSG00000185272	0	0	0	0	0	0
ENSG00000185390	0	0	0	0	0	0
ENSG00000185437	82	93	64	10	53	45
ENSG00000185658	3508	3734	3584	3810	4511	3666
ENSG00000185808	884	911	784	846	918	796
ENSG00000185917	676	680	658	772	844	729
ENSG00000186866	1103	1340	1136	1114	1272	1080
ENSG00000186924	0	0	0	0	0	0
ENSG00000186925	0	0	0	0	0	0
ENSG00000186930	0	0	0	0	0	0
ENSG00000186965	0	0	0	0	0	0
ENSG00000186967	0	0	0	0	0	0
ENSG00000186970	0	0	0	0	0	0
ENSG00000186971	0	0	0	0	0	0
ENSG00000186977	0	0	0	0	0	0
ENSG00000186980	0	0	0	0	0	0
ENSG00000187005	0	0	0	0	0	0
ENSG00000187026	0	0	0	0	1	0
ENSG00000187172	5	12	5	10	5	11
ENSG00000187175	0	0	0	0	0	0
ENSG00000187766	0	0	0	0	0	0
ENSG00000188155	0	0	0	0	0	0
ENSG00000188681	104	95	74	95	104	74
ENSG00000188694	0	0	0	0	0	0
ENSG00000188992	0	0	0	0	0	0
ENSG00000189089	1	8	7	8	5	2
ENSG00000189169	0	0	0	0	0	0
ENSG00000197381	4056	4705	3654	5056	7165	5134
ENSG00000197683	0	0	0	0	0	0
ENSG00000198390	0	0	0	0	0	0
ENSG00000198618	4454	4654	4932	4438	4054	3866
ENSG00000198743	2045	2461	2550	3006	3521	3206
ENSG00000198862	2515	2524	2608	2752	3106	2603
ENSG00000199806	0	0	0	0	0	0
ENSG00000201812	0	0	0	0	0	0
ENSG00000203616	0	0	0	0	0	0
ENSG00000205439	0	0	0	0	0	0
ENSG00000205445	0	0	0	0	0	0
ENSG00000205581	15555	15103	14848	19163	19114	16632
ENSG00000205670	763	745	723	1004	1048	949
ENSG00000205726	5947	5877	5875	6781	7156	6435
ENSG00000205758	720	737	784	648	762	610
ENSG00000205927	0	0	0	0	0	0
ENSG00000205929	11	18	8	9	11	6
ENSG00000206102	0	0	0	0	0	0
ENSG00000206104	0	0	0	0	0	0
ENSG00000206105	0	0	0	0	0	0
ENSG00000206106	0	0	0	0	0	0
ENSG00000206107	0	0	0	0	0	0
ENSG00000212932	0	0	0	0	0	0
ENSG00000212933	0	0	0	0	0	0
ENSG00000212935	0	0	0	0	0	0
ENSG00000212938	0	0	0	0	0	0
ENSG00000213440	0	0	0	0	0	0
ENSG00000213885	85	106	100	104	105	102
ENSG00000214319	0	0	0	0	0	0
ENSG00000214326	0	0	0	0	0	0
ENSG00000214867	0	0	0	0	0	1
ENSG00000214889	0	0	0	0	0	0
ENSG00000214914	1	2	2	0	0	5
ENSG00000214976	0	0	0	0	0	0
ENSG00000215005	2	1	2	5	0	2
ENSG00000215088	0	0	0	1	0	0
ENSG00000215317	0	0	0	0	0	0
ENSG00000215326	0	0	0	0	0	0
ENSG00000215351	0	0	1	1	0	1
ENSG00000215353	0	0	0	0	0	0
ENSG00000215369	0	0	0	0	0	0
ENSG00000215454	0	0	0	0	0	0
ENSG00000215455	0	0	0	0	0	0
ENSG00000215559	1	0	0	0	1	0
ENSG00000215562	0	0	0	0	0	0
ENSG00000215734	0	0	0	0	0	0
ENSG00000217026	0	1	1	0	0	2
ENSG00000218125	0	0	0	0	0	0
ENSG00000218549	0	0	0	0	0	0
ENSG00000219280	0	0	0	0	0	0
ENSG00000219368	0	0	0	0	0	0
ENSG00000219592	0	0	0	0	0	0
ENSG00000221837	0	0	0	0	0	0
ENSG00000221859	0	0	0	0	0	0
ENSG00000221864	0	0	0	0	0	0
ENSG00000222018	1	0	0	0	1	0
ENSG00000223262	0	0	0	0	0	0
ENSG00000223431	0	0	0	0	0	0
ENSG00000223488	0	0	0	0	0	0
ENSG00000223671	0	0	0	0	0	0
ENSG00000223741	0	0	1	0	0	1
ENSG00000223822	1	0	0	1	0	1
ENSG00000224309	0	0	0	0	0	0
ENSG00000224421	0	0	0	0	0	0
ENSG00000224427	0	1	0	0	0	0
ENSG00000224524	0	0	0	0	0	0
ENSG00000224598	0	0	0	0	0	0
ENSG00000224602	0	0	0	0	0	0
ENSG00000224747	0	0	0	0	0	0
ENSG00000224860	0	0	0	0	0	0
ENSG00000225043	0	0	1	0	0	0
ENSG00000225267	0	0	0	0	0	0
ENSG00000225502	0	0	0	0	0	0
ENSG00000225735	0	0	0	0	0	0
ENSG00000225906	0	0	0	0	0	0
ENSG00000226054	152	152	172	193	209	229
ENSG00000226298	0	0	0	0	0	0
ENSG00000226406	0	0	0	0	0	0
ENSG00000226501	1	0	0	0	0	0
ENSG00000226543	0	0	0	0	0	0
ENSG00000226580	4	0	2	2	1	0
ENSG00000226818	0	1	0	0	0	0
ENSG00000226930	0	0	0	0	0	0
ENSG00000227054	0	0	0	0	0	0
ENSG00000227406	0	0	0	0	0	0
ENSG00000227721	0	0	0	0	0	0
ENSG00000227840	0	0	0	0	0	0
ENSG00000227874	0	0	0	0	0	0
ENSG00000227999	0	0	0	0	0	0
ENSG00000228149	1	0	0	1	0	0
ENSG00000228184	0	0	0	0	0	0
ENSG00000228314	0	0	0	0	0	0
ENSG00000228349	0	0	0	0	0	0
ENSG00000228433	0	0	0	0	0	0
ENSG00000228600	0	0	0	0	0	0
ENSG00000228861	0	0	0	0	0	0
ENSG00000228930	0	0	0	0	0	0
ENSG00000228941	8	5	7	6	14	5
ENSG00000229007	17	35	21	32	28	33
ENSG00000229046	0	0	0	0	0	0
ENSG00000229231	0	0	0	1	0	0
ENSG00000229336	1	1	0	3	0	0
ENSG00000229623	0	0	0	0	1	0
ENSG00000229761	0	0	0	0	0	0
ENSG00000229880	0	1	0	0	0	0
ENSG00000230198	0	0	0	0	0	0
ENSG00000230859	0	0	0	0	0	0
ENSG00000230870	5	5	6	2	4	6
ENSG00000230965	0	0	0	0	0	0
ENSG00000230982	0	0	0	0	1	1
ENSG00000231058	0	0	0	0	0	0
ENSG00000231068	0	0	0	0	0	0
ENSG00000231123	0	0	0	0	0	1
ENSG00000231136	0	0	0	0	1	0
ENSG00000231300	1	0	1	0	1	0
ENSG00000231480	0	0	0	0	0	0
ENSG00000232260	0	0	2	1	1	1
ENSG00000232263	0	0	0	0	0	0
ENSG00000232608	1	0	0	0	0	0
ENSG00000232687	0	0	0	0	0	0
ENSG00000232777	0	0	0	0	1	0
ENSG00000232797	0	0	0	0	0	0
ENSG00000233036	0	0	0	0	0	0
ENSG00000233056	19	26	36	16	21	32
ENSG00000233206	0	0	0	0	0	0
ENSG00000233300	0	0	0	0	0	0
ENSG00000233442	0	0	0	0	0	0
ENSG00000233640	0	0	0	0	0	0
ENSG00000233676	0	0	0	0	0	0
ENSG00000233767	0	0	0	0	0	0
ENSG00000233956	1	1	0	0	2	0
ENSG00000234008	0	0	0	0	0	0
ENSG00000234030	0	0	0	1	1	0
ENSG00000234107	0	0	0	0	0	1
ENSG00000234159	0	0	0	0	0	0
ENSG00000234289	67	49	47	28	32	41
ENSG00000234340	0	1	0	0	0	0
ENSG00000234439	0	0	2	1	0	0
ENSG00000234538	0	0	0	0	0	0
ENSG00000235012	0	0	0	0	0	0
ENSG00000235312	0	0	0	0	0	0
ENSG00000235374	44	68	48	62	83	80
ENSG00000235514	0	0	0	0	0	0
ENSG00000235701	4	1	2	0	3	1
ENSG00000235808	1	0	0	1	0	0
ENSG00000236056	0	0	0	0	0	0
ENSG00000236382	0	0	0	0	0	0
ENSG00000236400	0	0	0	0	0	0
ENSG00000236612	0	0	0	0	0	0
ENSG00000237202	0	0	0	0	0	0
ENSG00000237325	0	0	0	0	0	0
ENSG00000237444	0	0	0	0	0	0
ENSG00000237569	0	0	0	0	0	0
ENSG00000237731	0	0	0	0	0	0
ENSG00000237841	0	0	0	0	0	0
ENSG00000238220	0	0	0	0	0	0
ENSG00000238257	0	0	0	0	0	0
ENSG00000238627	0	0	0	0	0	0
ENSG00000240432	0	0	0	0	0	0
ENSG00000240755	17	18	9	6	6	4
ENSG00000241123	0	0	0	0	0	0
ENSG00000241837	6059	5861	6263	6819	6707	6295
ENSG00000241945	4273	4251	3693	5492	5744	4891
ENSG00000242220	22	2	0	6	4	4
ENSG00000243064	0	0	0	0	0	0
ENSG00000243489	0	0	0	0	0	0
ENSG00000243627	0	0	0	0	0	0
ENSG00000243646	462	462	498	510	549	475
ENSG00000243927	2067	2085	1765	2495	2820	2291
ENSG00000244025	0	0	0	0	0	0
ENSG00000244362	0	0	0	0	0	0
ENSG00000244624	0	0	0	0	0	0
ENSG00000249209	18	16	20	47	21	34
ENSG00000249493	0	1	1	0	2	1
ENSG00000249624	40	25	24	42	32	54
ENSG00000250973	0	0	0	0	0	0
ENSG00000252950	0	0	0	0	0	0
ENSG00000265590	463	524	464	382	372	458
ENSG00000270533	21	25	26	13	20	15
ENSG00000270652	0	0	0	0	0	0
ENSG00000270835	0	0	0	0	0	0
ENSG00000271486	0	0	0	0	0	0
ENSG00000272804	0	0	0	0	0	0
ENSG00000273692	0	0	0	0	0	0
ENSG00000273872	0	0	0	0	0	0
ENSG00000274391	0	0	0	0	0	0
ENSG00000274749	0	0	0	0	0	0
ENSG00000275170	0	0	0	0	0	0
ENSG00000275592	0	0	0	0	0	0
ENSG00000275945	0	3	2	0	1	0
ENSG00000276556	0	0	0	0	0	0
ENSG00000276647	0	0	0	0	0	0
ENSG00000276738	0	0	0	0	0	0
ENSG00000277282	0	0	0	0	0	0
ENSG00000278106	0	0	0	0	0	0
ENSG00000278181	0	0	0	0	0	0
ENSG00000278381	0	0	0	0	0	0
ENSG00000278678	0	0	0	0	0	0
ENSG00000278931	41	46	47	38	63	47
ENSG00000279062	1	0	0	0	0	0
ENSG00000279167	0	0	0	0	0	0
ENSG00000279208	29	19	48	28	12	21
ENSG00000279211	0	0	0	0	0	0
ENSG00000279213	0	0	0	0	0	0
ENSG00000279381	0	0	0	0	0	0
ENSG00000279414	1	2	0	2	0	0
ENSG00000279477	0	0	0	0	0	0
ENSG00000279615	0	0	0	0	0	0
ENSG00000279647	0	0	0	0	0	0
ENSG00000279709	0	0	0	0	0	0
ENSG00000279718	1	1	5	4	7	4
ENSG00000279720	3	2	1	5	3	2
ENSG00000279728	0	0	0	0	0	0
ENSG00000279783	0	0	0	0	0	0
ENSG00000279788	0	0	0	0	0	0
ENSG00000279864	0	0	0	0	0	0
ENSG00000279895	0	0	0	0	0	0
ENSG00000279990	0	0	0	0	0	0
ENSG00000280019	0	0	0	0	0	0
ENSG00000280081	228	243	304	292	364	289
ENSG00000280243	0	0	0	0	0	0
ENSG00000280330	4	4	2	1	3	3
ENSG00000280436	0	0	0	0	0	1
ENSG00000281420	0	0	0	0	0	0
ENSG00000285815	32	23	34	60	7	16
ENSG00000286224	0	0	0	0	0	0
ENSG00000288593	0	0	0	7	0	2
ENSG00000288711	0	0	0	0	0	0
