"KO_1","KO_2","KO_3","WT_1","WT_2","WT_3","gene_id"
1613.38539997906,1745.52811079879,1534.19108785535,1892.4755336943,1948.89492702593,1690.81742956801,"ENSG00000141956"
6135.5038766918,5946.65869873523,6202.45982341147,6373.36011001952,6257.29808278955,6147.39962698241,"ENSG00000141959"
246.345860661897,282.888215881558,248.621170810134,68.7823646626116,81.3508767639741,79.7407532445657,"ENSG00000142156"
2955.52772670009,3113.93026890998,3458.29772973235,3222.63881405321,3205.93084673662,3492.28378604594,"ENSG00000142166"
9497.10456379205,8615.46252272218,8927.96242057682,9594.30902217857,8923.06668609191,9629.56101056987,"ENSG00000142168"
23557.7424542384,24835.643202719,23026.0931389966,19191.8983761567,23251.1213396193,19051.8661531056,"ENSG00000142178"
215.958848562164,177.757275563871,198.489880503045,390.828753413202,323.783371147448,410.12940920698,"ENSG00000142182"
860.707377787867,761.212255790903,708.092927608095,821.229988267736,776.889507682234,838.530297799016,"ENSG00000142185"
982.498149741679,1033.99791637085,1038.96565809144,1028.64862017065,925.408604310573,897.261871218749,"ENSG00000142188"
21538.6012831325,20694.4196087612,21527.9492413307,18703.2318095837,19000.3579430213,19110.1072305572,"ENSG00000142192"
285.455633992674,318.079506128622,321.14178610866,622.905823269883,552.843207267431,544.812066843353,"ENSG00000142197"
5107.67715638906,5317.81628458776,4659.61418640733,3921.03793533317,4111.11734331609,3748.98655950324,"ENSG00000142207"
4275.78665799767,4075.48928307189,4327.60299081622,4653.46041205829,4671.08962296337,4698.72656180187,"ENSG00000154639"
2626.8113241375,2525.28765792747,2538.80840633197,1871.59102324312,1858.20435630417,1831.22289721452,"ENSG00000154640"
698.841688345804,648.995145089727,767.440427383244,742.440837704069,888.968500401332,891.815978200591,"ENSG00000154642"
124.898041409726,74.9874868055294,90.3560379310364,36.8144668130599,31.27101150959,63.1502231889289,"ENSG00000154654"
2581.7645180232,2557.98031679972,2512.61272520687,2490.93458229313,2368.45332835407,2497.14360067624,"ENSG00000154719"
4683.78504760887,4519.19938137775,4900.55032259697,4681.64835929226,4369.01917750295,4698.56655042642,"ENSG00000154723"
2543.03038705358,2434.63883410562,2683.59840877874,2855.74856852252,2972.45775453605,3139.02814076476,"ENSG00000154727"
401.677321317343,335.574478987711,306.835632914884,558.367740944277,641.528976608133,591.546725633164,"ENSG00000154734"
9.39140522252507,6.14183695434289,6.40809805000765,72.6270258210705,67.5909204981327,72.2405713048173,"ENSG00000154736"
2470.05808030599,2572.61044527082,2657.73997984935,2708.09812994132,2743.65834511512,2758.28159945871,"ENSG00000155304"
2922.02747927451,2699.63027918372,2862.00870113155,3283.52955016812,3025.50573826807,3104.23499324362,"ENSG00000155313"
341.201842629922,298.118231135705,283.355454915393,301.741017102074,355.791320719599,324.316257984417,"ENSG00000156239"
902.805916266903,973.691677980928,941.802491817652,1079.88584394395,1114.12251920575,1078.26030618668,"ENSG00000156253"
2884.82702952869,2656.18657140198,2558.05370577822,3340.29119466374,3074.19515726102,3183.79026083671,"ENSG00000156256"
24958.0073803369,24048.8044037518,24056.5959508603,22597.2391323175,22846.1489767196,22055.4303451318,"ENSG00000156261"
1938.5098748974,1956.00581482838,1893.62716179266,1653.63221988836,1600.31026752535,1690.56424555303,"ENSG00000156273"
2039.36665628184,2038.73441310459,1901.76682521154,2070.12113327649,2102.38588796412,2028.37335288757,"ENSG00000156304"
2283.82011317631,2241.11506946091,2418.77731349661,2261.05360987316,2210.07536000405,2468.44364727387,"ENSG00000157538"
3981.2201367306,3610.73378801265,3888.6478149864,4096.19538766156,3748.05578075513,3797.95899833371,"ENSG00000157540"
35.0362503805132,26.1225386467532,3.62245281139252,28.5121426127266,23.9219097963871,22.512633445813,"ENSG00000157551"
917.323944224983,808.027992264172,784.12438184968,1040.30992238011,962.793504780657,934.685788788612,"ENSG00000157554"
8627.80427271336,8584.43041163001,8794.15433952957,5668.30334895902,5658.95252580282,5000.23510050267,"ENSG00000157557"
125.267203506568,109.324028359824,125.661115389297,140.29546885974,113.977641362338,133.745392850149,"ENSG00000157578"
35.4111856887979,69.7506658171854,68.6690465879188,35.3411605181478,40.4074935525989,23.6356400633363,"ENSG00000157601"
1874.96752644653,1961.95996128429,1686.05941210901,2111.4048074816,2249.98428923744,1860.23832215722,"ENSG00000157617"
938.005754681923,920.30110717932,891.188846351587,979.629089586491,1029.146631233,986.655375850589,"ENSG00000159055"
4054.75400690888,3944.27398303683,3639.53223286104,3753.17493195843,3824.02944532214,3278.44229708861,"ENSG00000159079"
852.475467708189,1046.30830795293,1164.41155295984,893.830497141709,910.034845691029,948.422970614636,"ENSG00000159082"
3012.83633875521,2995.48835290098,2932.02456621714,3104.87418355803,3392.53368576434,3168.32682832713,"ENSG00000159086"
1573.90141907131,1754.8089748778,1716.18107407286,1458.60096396534,1443.31770175681,1504.69784322819,"ENSG00000159110"
1930.21519297965,1908.05504109526,1812.60688023257,1701.66167455379,1763.96841317639,1772.49527541893,"ENSG00000159128"
14461.6220217766,13817.6240447181,13676.9261819854,13893.0636648641,14342.1637039352,13888.8191043639,"ENSG00000159131"
23900.7360831508,26710.3179044421,23094.2053643524,24069.6477412099,23754.2938940122,23698.6031160248,"ENSG00000159140"
2979.84206035217,2998.1808061036,3101.63943167645,2951.53084681013,3460.5964233814,3270.51846652661,"ENSG00000159147"
667.744354445386,623.688678270339,643.540390860896,627.281006536213,614.878304871368,641.31609414303,"ENSG00000159200"
1396.07878192752,1302.42906906076,1214.85067988779,1168.23161806414,1001.35774119855,825.325031196981,"ENSG00000159216"
2691.11270324043,2750.72313737301,2654.664282543,3658.27459901946,3543.23315277405,3498.11326778117,"ENSG00000159228"
214.29735071108,170.585353516619,190.844514670446,237.131854506324,180.095447735129,176.47864928487,"ENSG00000159231"
1100.42130634149,1131.46377491062,1150.79308460468,1123.12892991797,1216.50041165973,1189.1226257108,"ENSG00000159256"
3192.04631954315,3169.58315487541,3112.3802034506,3028.09441163973,2793.99403260002,3010.53089977788,"ENSG00000159259"
507.758104256184,583.361566909406,513.397557177224,625.477870243585,633.274261758593,604.30251654906,"ENSG00000159263"
1394.2467696032,1390.63796049254,1259.19156618583,1352.50450698255,1184.69369180373,1228.01801181494,"ENSG00000159267"
953.809032816735,888.541646145464,921.788000558767,421.255532874663,384.535792406355,349.454878526521,"ENSG00000160183"
755.851272637821,923.792676854687,903.130399801215,804.898768778041,893.760568044901,761.458570891805,"ENSG00000160190"
193.814301939299,224.842749648396,254.987764653603,151.390672291575,145.002470618531,121.117619275449,"ENSG00000160191"
1501.73238771986,1491.2502014639,1678.28276826287,1596.92980113199,1580.43650418223,1695.28233272175,"ENSG00000160193"
2527.13373416735,2405.4776909875,2735.45104219294,2628.72644523063,2592.49151139043,2570.5632549348,"ENSG00000160194"
1058.28614359315,1321.24651874257,1229.47429423114,958.732298736248,1011.54858704019,929.241692172227,"ENSG00000160199"
8858.47604010914,8979.99278957554,9580.98850399733,10615.0340378593,11384.0983978303,11036.1656795411,"ENSG00000160200"
8339.22774493834,8075.64552894123,7776.06564698398,8588.83992732945,8038.17020842325,8022.8088443177,"ENSG00000160201"
149.161925142467,138.917495816126,135.273544479119,130.328814692852,129.680182789316,133.735660813989,"ENSG00000160207"
11779.8672946243,11539.7729023394,10285.7642902924,12845.6457933283,13187.122697536,11943.0895807406,"ENSG00000160208"
18297.2880746782,17568.1478990362,18259.9622081655,17168.1930243704,17078.0983711953,16990.6223001367,"ENSG00000160209"
5536.99234637858,5564.86227195909,5406.49860589397,5273.56888024569,4848.27032505809,5069.9524561341,"ENSG00000160213"
3401.50435865271,3321.68469342746,3034.48265962591,4113.62023274002,4051.61648262838,3507.1919519077,"ENSG00000160214"
3666.87720023482,3659.64054842503,3272.8860777678,3648.94182223926,4030.52671934224,3978.31071187175,"ENSG00000160216"
3264.23850056486,3408.79469844782,3241.37013627947,3356.84809100843,3355.49159340878,3516.11809400416,"ENSG00000160218"
3568.45741814287,3643.50898884965,3718.43848425273,4094.23229819151,4103.22473365476,3973.66995212714,"ENSG00000160221"
1646.9273295405,1693.91236644628,1521.70321469981,2232.98159342242,2260.97091687993,2088.47173326469,"ENSG00000160223"
462.853215279479,417.474604115737,418.562099717564,485.415975472117,433.259850761352,389.741686927457,"ENSG00000160226"
21.5166514937349,34.1300096859106,36.1869090939779,47.9350037802348,52.7278145310076,57.3183780084597,"ENSG00000160233"
31.8810292985358,48.0240682724155,44.3943709258748,19.9788363362865,19.397816004131,44.4234454699007,"ENSG00000160255"
1911.96693211063,1991.81415027199,1704.2195607655,1815.6375494968,1661.33049901516,1663.7340824224,"ENSG00000160256"
88.0706719741522,130.50528829392,101.637475287595,98.292334380181,76.4942267143363,93.7062827729055,"ENSG00000160284"
3843.62219377903,3838.62516828184,4396.15495546071,3654.63204439712,2894.72800066179,3433.8946267354,"ENSG00000160285"
7375.31085607058,7287.98388423641,6785.77343099238,6961.60885348711,6995.1218959261,6978.79103900396,"ENSG00000160294"
489.093722138174,481.855276482605,475.178608685148,444.432348475783,582.597936660927,428.063092973641,"ENSG00000160298"
4399.89324837691,4399.24738406582,4688.63577117523,4950.93852630181,5501.33450274666,5309.63643690074,"ENSG00000160299"
2036.61757102455,2014.91644235982,2342.5940526982,1998.65612235236,2494.55811015154,2077.71751821054,"ENSG00000160305"
1563.06807716881,1553.73722051554,1347.05103245745,1479.75068012667,1420.24104107781,1421.18058764878,"ENSG00000160310"
1607.4343599696,1641.98931080226,1530.36407435038,1214.64874674626,1227.50534008662,1099.24023629126,"ENSG00000166979"
1110.64723474685,1257.11639812883,1282.51491851404,1248.4777052552,1280.05347844776,1515.3461510365,"ENSG00000173276"
3069.57383026806,3369.08505420706,2712.94674395992,3833.8078441883,3651.86798064167,3157.32970174505,"ENSG00000173638"
12.5852887387677,7.20029497021917,3.29980669741037,12.9942323936255,11.6674490360227,7.08176408316885,"ENSG00000176054"
26.0113978904741,18.6493003190897,30.4729639389238,20.0340648488482,24.6391726408358,30.4964794682297,"ENSG00000177692"
3603.70651353697,3643.41607194174,4040.61409830754,4773.34932096577,4820.08626247646,4919.85366222757,"ENSG00000180530"
1215.28040719986,1180.74867774559,1279.12171732564,1097.92439186013,1084.03461396815,1228.5975620994,"ENSG00000182093"
24321.2171704138,22076.0232728661,22531.4124286658,17696.7661906843,16479.3453466929,16611.2053113786,"ENSG00000182240"
716.483020781846,695.101989300364,685.739948872519,709.066767186955,733.639137485703,709.642388047514,"ENSG00000182362"
9359.71293137214,8965.55422657805,9721.01647801347,8716.5091118011,9727.85472248595,9089.91340871633,"ENSG00000182670"
54.0529771948827,17.9349373899041,39.2401290179088,10.3783437553844,20.9024909427425,27.117657545492,"ENSG00000182871"
5752.33741284886,6146.90496050566,5633.03895258108,4766.2791298858,5203.25583094856,5002.28590427946,"ENSG00000183255"
92.3394085223501,100.473264916792,123.862458737635,76.5877727248397,63.4518405759845,60.2643204962678,"ENSG00000183421"
13.7828362881317,16.3346094930465,33.2551985366447,5.15720438844463,6.30922767942051,0,"ENSG00000183486"
5134.72781180337,4835.0235642007,4747.46438938978,5280.58407864323,5342.02600454881,5338.19601006311,"ENSG00000183527"
33.3782277278569,25.7115901864692,29.2887024884602,17.664633486826,17.6525950417493,18.7110471627583,"ENSG00000183844"
6268.40720359132,6056.6208225266,6197.66780638458,5962.5846757097,6595.92634044353,5598.00708348759,"ENSG00000184787"
5761.20803901071,5747.84446689593,5430.37586643232,6601.389438487,6194.18173866302,6249.40879245892,"ENSG00000184900"
91.2532794098634,85.2522919454386,69.1413601321532,12.0863993345327,42.3491242960593,42.2796439918955,"ENSG00000185437"
3564.01726147081,3844.76220221888,4099.91297816846,3173.83398004667,4092.81189030961,4053.23935856842,"ENSG00000185658"
947.346627084801,931.309772770688,852.305852091071,773.632824203172,809.572650623068,828.750028924999,"ENSG00000185808"
708.077099041613,723.432150363566,645.164208586293,791.981584695969,721.992548004577,760.277886625274,"ENSG00000185917"
1131.0244592289,1274.90331269007,1250.73423485086,1153.8362126056,1176.36920842866,1049.6695589565,"ENSG00000186866"
5.37730559411277,12.2954027501159,5.27573418490592,9.385837171845,4.4724177840211,11.2688131976196,"ENSG00000187172"
112.505023292154,99.7034545120192,79.9505053446776,90.2424141845735,93.2206062617566,70.8518782131995,"ENSG00000188681"
4279.62537793952,4595.6673328812,4076.16657491341,4805.01258713525,6290.93290612096,5351.670878387,"ENSG00000197381"
4786.02683640492,4813.93896495427,5316.30219305293,4150.73821360591,3596.70831556794,3888.80906646887,"ENSG00000198618"
2132.03799780888,2512.53242388056,2702.1132398817,2841.73497219407,3125.19126861907,3387.60909802037,"ENSG00000198743"
2510.27960340526,2691.0626434415,2822.14057071896,2579.52455291272,2727.90642828328,2745.77719589795,"ENSG00000198862"
16143.9717256322,15523.8006786492,15900.4030950271,18032.1839073315,17146.4391919488,17247.3311580543,"ENSG00000205581"
810.529679509447,759.656002407277,772.579543673056,946.332947151217,934.921304529376,975.061925267495,"ENSG00000205670"
6252.81908661552,6102.82582531707,6311.97170647316,6658.93054745872,6379.86644697425,6265.93914539974,"ENSG00000205726"
754.60056992293,752.500384493137,800.748024815091,614.318138570582,681.264902322642,658.486345961651,"ENSG00000205758"
11.6687993363394,18.6240075576551,8.48912617969832,8.51352362111549,9.78184490995557,6.12419773421493,"ENSG00000205929"
89.5246653890097,115.206132657266,108.619118582748,100.0217102351,93.1266107863634,96.1733952680308,"ENSG00000213885"
158.578484240897,155.618640220455,183.602993576756,181.65989946008,186.312228543679,239.369401368407,"ENSG00000226054"
18.186006724773,35.4520330254688,22.3046979326241,29.716739850837,25.0167719010878,34.5581862011148,"ENSG00000229007"
20.4434420216394,26.9098207051001,38.3110882927564,15.0590864141788,18.8602245892297,31.943603593265,"ENSG00000233056"
71.035734625982,51.3813933295593,51.8720036915393,26.4278825766712,28.4580985167351,39.8085705175717,"ENSG00000234289"
46.2886782568463,76.8346256585373,49.0902287856183,60.5730695839628,80.8320995278264,69.1627635168866,"ENSG00000235374"
6481.11035340874,6034.42509291415,6696.00645500701,6388.77730550714,5962.25565292762,6419.0431064503,"ENSG00000241837"
4565.94332080647,4223.87567782558,3992.98756886428,5364.93267837519,5173.19407389735,4842.65219682346,"ENSG00000241945"
479.060912483941,472.130136128358,549.524215328132,457.603467309493,505.119496180644,492.069777232695,"ENSG00000243646"
2206.88170735801,2129.61257855145,1900.50603450757,2357.7489596909,2502.85776584497,2326.23373858405,"ENSG00000243927"
19.0738798698308,16.5632579863553,21.5140682249225,44.1052041003773,18.8333645988264,34.2368225533952,"ENSG00000249209"
59.5048891631062,30.2905643383944,18.5179831834587,28.5625758816229,28.46850263352,64.1783538460457,"ENSG00000249624"
495.005850476608,511.797388153774,487.314809096619,391.783150623723,316.819342464161,478.108637924683,"ENSG00000265590"
22.7250590640052,24.0112552765972,28.0183513939777,13.0473624666816,17.8896014405858,14.9180274629209,"ENSG00000270533"
42.593907800907,46.8711646053193,49.7643285889216,35.4963737893597,56.0158569039747,50.4888172794288,"ENSG00000278931"
29.8801897663078,19.3120971649911,50.7621180223427,26.5719780272105,10.6037743336262,22.6107268457184,"ENSG00000279208"
240.215663491313,271.393745943695,322.95810745823,281.063514330763,309.596175827103,282.390038596515,"ENSG00000280081"
33.6869230128997,24.9518820756537,36.857994852489,57.8660356978048,5.84497777740978,16.0480789107913,"ENSG00000285815"
